>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
239;Patriotów;R-k Boguszowice Osiedle Pêtla;;;;Koniec 15;22;3;0;;;;;;;ABus;;;18,36,31.1;50,02,48.6;Brak;50;;Bog Pêtla;Boguszowice Osiedle Pêtla;Bog Pêtla;;Boguszowice Osiedle Pêtla;Boguszowice Osiedle Pêtla;Patriotów;Rybnik;;RYBNIK;BOGUSZOWICEOSIEDLE;;643;.GRZEGORZ;23-04-2021;12:42:37;;;;;;;
240;Rajska;R-k Boguszowice Osiedle Rajska;;;;Pêtla;286;0;0;;;;;;;ABus;;;18,36,20.5;50,03,05.3;Brak;50;;Bog Rajska;Boguszowice Osiedle Rajska;Bog Rajska;;Boguszowice Osiedle Rajska;Boguszowice Osiedle Rajska;Rajska;Rybnik;;RYBNIK;BOGUSZOWICEOSIEDLE;;586;.GRZEGORZ;24-11-2017;08:43:00;;;;;;;
241;Rajska;R-k Boguszowice Osiedle Rajska;;;;Sztolniowa;286;1;0;;;;;;;ABus;;;18,36,22.2;50,03,03.2;Brak;50;;Bog Rajska;Boguszowice Osiedle Rajska;Bog Rajska;;Boguszowice Osiedle Rajska;Boguszowice Osiedle Rajska;Rajska;Rybnik;;RYBNIK;BOGUSZOWICEOSIEDLE;;587;.GRZEGORZ;23-04-2021;12:42:58;;;;;;;
242;Ma³achowskiego;R-k Boguszowice Stare;;;;Szko³a;17;0;0;;;;;;;ABus;;;18,35,59.2;50,03,54.6;Brak;50;;Bog Stare;Boguszowice Stare;Bog Stare;;Boguszowice Stare;Boguszowice Stare;Ma³achowskiego;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;35;.GRZEGORZ;23-04-2021;12:47:42;;;;;;;
243;Ma³achowskiego;R-k Boguszowice Stare;;;;Raszowiec;17;1;0;;;;;;;ABus;;;18,35,59.7;50,03,54.4;Brak;50;;Bog Stare;Boguszowice Stare;Bog Stare;;Boguszowice Stare;Boguszowice Stare;Ma³achowskiego;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;36;.GRZEGORZ;11-05-2017;09:01:17;;;;;;;
244;Ma³achowskiego;R-k Boguszowice Stare B³êkitna;;;;Kopalnia;368;0;0;;;;;;;ABus;;;18,35,11.0;50,03,08.1;Brak;50;;Bog B³êkitna;Boguszowice Stare B³êkitna;Bog B³êkitna;;Boguszowice Stare B³êkitna;Boguszowice Stare B³êkitna;Ma³achowskiego;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;739;.GRZEGORZ;23-04-2021;12:43:36;;;;;;;
245;Ma³achowskiego;R-k Boguszowice Stare B³êkitna;;;;Ma³ach..;368;1;0;;;;;;;ABus;;;18,35,11.0;50,03,08.1;Brak;50;;Bog B³êkitna;Boguszowice Stare B³êkitna;Bog B³êkitna;;Boguszowice Stare B³êkitna;Boguszowice Stare B³êkitna;Ma³achowskiego;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;740;.GRZEGORZ;23-04-2021;12:44:18;;;;;;;
246;K³okociñska;R-k Boguszowice StareK³okociñska;;;;Stare;141;0;0;;;;;;;ABus;;;18,36,18.0;50,03,40.0;Brak;50;;Bog K³okociñska;Boguszowice Stare K³okociñska;Bog K³okociñska;;Boguszowice Stare K³okociñska;Boguszowice Stare K³okociñska;K³okociñska;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;283;.GRZEGORZ;23-04-2021;12:44:39;;;;;;;
247;K³okociñska;R-k Boguszowice StareK³okociñska;;;;U. Celny;141;1;0;;;;;;;ABus;;;18,36,18.0;50,03,40.0;Brak;50;;Bog K³okociñska;Boguszowice Stare K³okociñska;Bog K³okociñska;;Boguszowice Stare K³okociñska;Boguszowice Stare K³okociñska;K³okociñska;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;284;.GRZEGORZ;23-04-2021;12:45:17;;;;;;;
248;Ma³achowskiego;R-k Boguszowice StareMa³achowskiego;;;;Szko³a;19;1;0;;;;;;;ABus;;;18,35,22.9;50,03,20.9;Brak;50;;Bog Ma³ach;Boguszowice StareMa³achowskiego;Bog Ma³ach;;Boguszowice StareMa³achowskiego;Boguszowice StareMa³achowskiego;Ma³achowskiego;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;40;.GRZEGORZ;23-04-2021;12:45:30;;;;;;;
249;Ma³achowskiego;R-k Boguszowice StareMa³achowskiego;;;;B³êkitna;19;0;0;;;;;;;ABus;;;18,35,22.5;50,03,21.5;Brak;50;;Bog Ma³ach;Boguszowice StareMa³achowskiego;Bog Ma³ach;;Boguszowice StareMa³achowskiego;Boguszowice StareMa³achowskiego;Ma³achowskiego;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;39;.GRZEGORZ;23-04-2021;12:45:47;;;;;;;
250;Boguszowicka;R-k Boguszowice StareRaszowiec;;;;Stare;16;0;0;;;;;;;ABus;;;18,35,37.0;50,04,23.9;Brak;50;;Bog Raszowiec;Boguszowice Stare Raszowiec;Bog Raszowiec;;Boguszowice Stare Raszowiec;Boguszowice Stare Raszowiec;Boguszowicka;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;33;.GRZEGORZ;23-04-2021;12:46:02;;;;;;;
251;Boguszowicka;R-k Boguszowice StareRaszowiec;;;;L. Bogusz;16;1;0;;;;;;;ABus;;;18,35,38.3;50,04,24.7;Brak;50;;Bog Raszowiec;Boguszowice Stare Raszowiec;Bog Raszowiec;;Boguszowice Stare Raszowiec;Boguszowice Stare Raszowiec;Boguszowicka;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;34;.GRZEGORZ;11-05-2017;09:02:01;;;;;;;
252;Rejewskiego;R-k Boguszowice StareRejewskiego;;;;Sztolniowa;288;0;0;;;;;;;ABus;;;18,35,21.6;50,03,17.3;Brak;50;;Bog Rejewskiego;Boguszowice Stare Rejewskiego;Bog Rejewskiego;;Boguszowice Stare Rejewskiego;Boguszowice Stare Rejewskiego;Rejewskiego;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;596;.GRZEGORZ;22-10-2018;07:31:56;;;;;;;
253;Rejewskiego;R-k Boguszowice StareRejewskiego;;;;B³êkitna;288;1;0;;;;;;;ABus;;;18,35,22.0;50,03,16.6;Brak;50;;Bog Rejewskiego;Boguszowice Stare Rejewskiego;Bog Rejewskiego;;Boguszowice Stare Rejewskiego;Boguszowice Stare Rejewskiego;Rejewskiego;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;598;.GRZEGORZ;23-04-2021;12:47:05;;;;;;;
254;Ma³achowskiego;R-k Boguszowice Stare Szko³a;;;;Stare;18;1;0;;;;;;;ABus;;;18,35,57.1;50,03,40.0;Brak;50;;Bog Szko³a;Boguszowice Stare Szko³a;Bog Szko³a;;Boguszowice Stare Szko³a;Boguszowice Stare Szko³a;Ma³achowskiego;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;38;.GRZEGORZ;23-04-2021;12:47:31;;;;;;;
255;Ma³achowskiego;R-k Boguszowice Stare Szko³a;;;;Ma³ach..;18;0;0;;;;;;;ABus;;;18,35,58.2;50,03,42.3;Brak;50;;Bog Szko³a;Boguszowice Stare Szko³a;Bog Szko³a;;Boguszowice Stare Szko³a;Boguszowice Stare Szko³a;Ma³achowskiego;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;37;.GRZEGORZ;23-04-2021;12:48:27;;;;;;;
256;Sztolniowa;R-k Boguszowice StareSztolniowa;;;;Rejewskie;239;1;0;;;;;;;ABus;;;18,35,50.6;50,03,11.6;Brak;50;;Bog Sztolniowa;Boguszowice Stare Sztolniowa;Bog Sztolniowa;;Boguszowice Stare Sztolniowa;Boguszowice Stare Sztolniowa;Sztolniowa;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;569;.GRZEGORZ;23-04-2021;12:48:56;;;;;;;
257;Sztolniowa;R-k Boguszowice StareSztolniowa;;;;Sztol. 1;239;0;0;;;;;;;ABus;;;18,35,50.6;50,03,13.7;Brak;50;;Bog Sztolniowa;Boguszowice Stare Sztolniowa;Bog Sztolniowa;;Boguszowice Stare Sztolniowa;Boguszowice Stare Sztolniowa;Sztolniowa;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;494;.GRZEGORZ;23-04-2021;12:49:27;;;;;;;
258;Sztolniowa;R-k Boguszowice StareSztolniowa;;;;Rajska;239;2;0;;;;;;;ABus;;;18,35,50.6;50,03,11.6;Brak;50;;Bog Sztolniowa;Boguszowice Stare Sztolniowa;Bog Sztolniowa;;Boguszowice Stare Sztolniowa;Boguszowice Stare Sztolniowa;Sztolniowa;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;595;.GRZEGORZ;23-04-2021;12:52:14;;;;;;;
259;Sztolniowa;R-k Boguszowice StareSztolniowa;;;;Sztol 1;239;3;0;;;;;;;ABus;;;18,35,50.6;50,03,13.7;Brak;50;;Bog Sztolniowa;Boguszowice Stare Sztolniowa;Bog Sztolniowa;;Boguszowice Stare Sztolniowa;Boguszowice Stare Sztolniowa;Sztolniowa;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;597;.GRZEGORZ;23-04-2021;12:52:33;;;;;;;
260;Sztolniowa;R-k Boguszowice StareSztolniowa 1;;;;Szko³a;240;0;0;;;;;;;ABus;;;18,35,49.9;50,03,20.9;Brak;50;;Bog Sztol 1;Boguszowice Stare Sztolniowa 1;Bog Sztol 1;;Boguszowice Stare Sztolniowa 1;Boguszowice Stare Sztolniowa 1;Sztolniowa;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;495;.GRZEGORZ;23-04-2021;12:52:49;;;;;;;
261;Sztolniowa;R-k Boguszowice StareSztolniowa 1;;;;Sztolniowa;240;1;0;;;;;;;ABus;;;18,35,49.9;50,03,20.9;Brak;50;;Bog Sztol 1;Boguszowice Stare Sztolniowa 1;Bog Sztol 1;;Boguszowice Stare Sztolniowa 1;Boguszowice Stare Sztolniowa 1;Sztolniowa;Rybnik;;RYBNIK;BOGUSZOWICE STARE;;594;.GRZEGORZ;23-04-2021;12:53:15;;;;;;;
>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#10;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
262;Czecha;R-k Chwa³êcice Goj;;;;Classen;143;0;0;;;;;;;ABus;;;18,28,13.4;50,08,08.4;Brak;50;;Chw Goj;Chwa³êcice Goj;Chw Goj;;Chwa³êcice Goj;Chwa³êcice Goj;Czecha;Rybnik;;RYBNIK;CHWA£ÊCICE;;286;.GRZEGORZ;23-04-2021;12:53:41;;;;;;;
263;Czecha;R-k Chwa³êcice Goj;;;;Koœció³;143;1;0;;;;;;;ABus;;;18,28,18.8;50,08,08.2;Brak;50;;Chw Goj;Chwa³êcice Goj;Chw Goj;;Chwa³êcice Goj;Chwa³êcice Goj;Czecha;Rybnik;;RYBNIK;CHWA£ÊCICE;;287;.GRZEGORZ;11-05-2017;09:02:20;;;;;;;
264;Rudzka;R-k Chwa³êcice Kierchówek;;;;Przystañ;109;1;0;;;;;;;ABus;;;18,29,30.9;50,07,48.6;Brak;50;;Chw Kierchówek;Chwa³êcice Kierchówek;Chw Kierchówek;;Chwa³êcice Kierchówek;Chwa³êcice Kierchówek;Rudzka;Rybnik;;RYBNIK;CHWA£ÊCICE;;218;.GRZEGORZ;11-05-2017;09:02:26;;;;;;;
265;Rudzka;R-k Chwa³êcice Kierchówek;;;;Skrzy¿;109;0;0;;;;;;;ABus;;;18,29,33.7;50,07,48.0;Brak;50;;Chw Kierchówek;Chwa³êcice Kierchówek;Chw Kierchówek;;Chwa³êcice Kierchówek;Chwa³êcice Kierchówek;Rudzka;Rybnik;;RYBNIK;CHWA£ÊCICE;;217;.GRZEGORZ;23-04-2021;12:54:28;;;;;;;
266;Czecha;R-k Chwa³êcice Koœció³;;;;Goj;142;0;0;;;;;;;ABus;;;18,28,49.6;50,08,10.6;Brak;50;;Chw Koœció³;Chwa³êcice Koœció³;Chw Koœció³;;Chwa³êcice Koœció³;Chwa³êcice Koœció³;Czecha;Rybnik;;RYBNIK;CHWA£ÊCICE;;285;.GRZEGORZ;11-05-2017;09:02:31;;;;;;;
267;Czecha;R-k Chwa³êcice Koœció³;;;;Kierchówek;142;1;0;;;;;;;ABus;;;18,28,50.9;50,08,10.0;Brak;50;;Chw Koœció³;Chwa³êcice Koœció³;Chw Koœció³;;Chwa³êcice Koœció³;Chwa³êcice Koœció³;Czecha;Rybnik;;RYBNIK;CHWA£ÊCICE;;294;.GRZEGORZ;23-04-2021;12:54:55;;;;;;;
268;Czecha;R-k Chwa³êcice Koœció³ 1;;;;Koœció³;407;0;0;;;;;;;ABus;;;18,29,02.7;50,08,07.4;Brak;50;;Ch Koœæ 1;R-k Chwa³êcice Koœció³ 1;Ch. Koœció³ 1;;R-k Chwa³êcice Koœció³ 1;R-k Chwa³êcice Koœció³ 1;Czecha;Rybnik;;RYBNIK;CHWA£ÊCICE;;830;.GRZEGORZ;23-04-2021;12:55:11;;;;;;;
269;Rudzka;R-k Chwa³êcice Pniowiec;;;;Skrzy¿;260;1;0;;;;;;;ABus;;;18,28,49.4;50,08,31.6;Brak;50;;Chw Pniowiec;Chwa³êcice Pniowiec;Chw Pniowiec;;Chwa³êcice Pniowiec;Chwa³êcice Pniowiec;Rudzka;Rybnik;;RYBNIK;CHWA£ÊCICE;;537;.GRZEGORZ;23-04-2021;12:55:26;;;;;;;
270;Rudzka;R-k Chwa³êcice Pniowiec;;;;Przystañ;260;0;0;;;;;;;ABus;;;18,28,49.0;50,08,33.7;Brak;50;;Chw Pniowiec;Chwa³êcice Pniowiec;Chw Pniowiec;;Chwa³êcice Pniowiec;Chwa³êcice Pniowiec;Rudzka;Rybnik;;RYBNIK;CHWA£ÊCICE;;536;.GRZEGORZ;23-04-2021;12:55:45;;;;;;;
271;Rudzka;R-k Chwa³êcice Przystañ;;;;Kierchówek;108;0;0;;;;;;;ABus;;;18,30,24.8;50,07,28.2;Brak;50;;Chw Przystañ;Chwa³êcice Przystañ;Chw Przystañ;;Chwa³êcice Przystañ;Chwa³êcice Przystañ;Rudzka;Rybnik;;RYBNIK;CHWA£ÊCICE;;215;.GRZEGORZ;11-05-2017;09:02:50;;;;;;;
272;Rudzka;R-k Chwa³êcice Przystañ;;;;Rondo;108;1;0;;;;;;;ABus;;;18,30,25.2;50,07,28.6;Brak;50;;Chw Przystañ;Chwa³êcice Przystañ;Chw Przystañ;;Chwa³êcice Przystañ;Chwa³êcice Przystañ;Rudzka;Rybnik;;RYBNIK;CHWA£ÊCICE;;216;.GRZEGORZ;11-05-2017;09:02:50;;;;;;;
273;Rudzka;R-k Chwa³êcice Skrzy¿owanie;;;;Kierchówek;110;1;0;;;;;;;ABus;;;18,29,04.4;50,08,14.8;Brak;50;;Chw Skrzy¿;Chwa³êcice Skrzy¿owanie;Chw Skrzy¿;;Chwa³êcice Skrzy¿owanie;Chwa³êcice Skrzy¿owanie;Rudzka;Rybnik;;RYBNIK;CHWA£ÊCICE;;220;.GRZEGORZ;11-05-2017;09:02:59;;;;;;;
274;Rudzka;R-k Chwa³êcice Skrzy¿owanie;;;;Przystañ;110;0;0;;;;;;;ABus;;;18,29,02.9;50,08,16.7;Brak;50;;Chw Skrzy¿;Chwa³êcice Skrzy¿owanie;Chw Skrzy¿;;Chwa³êcice Skrzy¿owanie;Chwa³êcice Skrzy¿owanie;Rudzka;Rybnik;;RYBNIK;CHWA£ÊCICE;;219;.GRZEGORZ;23-04-2021;12:56:14;;;;;;;
275;Zwyciêstwa;R-k Chwa³owice Kolonia;;;;Kupiecka;224;0;0;;;;;;;ABus;;;18,33,22.0;50,03,55.1;Brak;50;;Ch Kolonia;Chwa³owice Kolonia;CH Kolonia;;Chwa³owice Kolonia;Chwa³owice Kolonia;Zwyciêstwa;Rybnik;;RYBNIK;CHWA£OWICE;;460;.GRZEGORZ;23-04-2021;12:57:11;;;;;;;
276;Zwyciêstwa;R-k Chwa³owice Kolonia;;;;Królewiok;224;1;0;;;;;;;ABus;;;18,33,22.0;50,03,55.1;Brak;50;;Ch Kolonia;Chwa³owice Kolonia;CH Kolonia;;Chwa³owice Kolonia;Chwa³owice Kolonia;Zwyciêstwa;Rybnik;;RYBNIK;CHWA£OWICE;;461;.GRZEGORZ;26-04-2018;07:53:53;;;;;;;
277;1 Maja;R-k Chwa³owice Kopalnia;;;;Osiedle;65;0;0;;;;;;;ABus;;;18,32,56.0;50,04,18.3;Brak;50;;Ch Kopalnia;Chwa³owice Kopalnia;Ch Kopalnia;;Chwa³owice Kopalnia;Chwa³owice Kopalnia;1 Maja;Rybnik;;RYBNIK;CHWA£OWICE;;121;.GRZEGORZ;24-11-2017;08:59:00;;;;;;;
278;1 Maja;R-k Chwa³owice Kopalnia;;;;Park;65;1;0;;;;;;;ABus;;;18,32,57.3;50,04,18.5;Brak;50;;Ch Kopalnia;Chwa³owice Kopalnia;Ch Kopalnia;;Chwa³owice Kopalnia;Chwa³owice Kopalnia;1 Maja;Rybnik;;RYBNIK;CHWA£OWICE;;122;.GRZEGORZ;26-01-2018;11:06:59;;;;;;;
279;Ko¿doniów;R-k Chwa³owice Ko¿doniów;;;;Jankowice;226;0;1;;;;;;;ABus;;;18,34,00.1;50,03,24.1;Brak;50;;Ch Ko¿doniów;Chwa³owice Ko¿doniów;Ch Ko¿doniów;;Chwa³owice Ko¿doniów;Chwa³owice Ko¿doniów;Ko¿doniów;Rybnik;;RYBNIK;CHWA£OWICE;;464;.GRZEGORZ;27-07-2020;11:44:54;;;;;;;
280;Ko¿doniów;R-k Chwa³owice Ko¿doniów;;;;Malchera;226;1;0;;;;;;;ABus;;;18,34,00.1;50,03,24.1;Brak;50;;Ch Ko¿doniów;Chwa³owice Ko¿doniów;Ch Ko¿doniów;;Chwa³owice Ko¿doniów;Chwa³owice Ko¿doniów;Ko¿doniów;Rybnik;;RYBNIK;CHWA£OWICE;;465;.GRZEGORZ;23-04-2021;12:57:37;;;;;;;
281;Zwyciêstwa;R-k Chwa³owice Królewiok;;;;Kolonia;223;0;0;;;;;;;ABus;;;18,33,47.2;50,04,04.1;Brak;50;;Ch Królewiok;Chwa³owice Królewiok;Ch Królewiok;;Chwa³owice Królewiok;Chwa³owice Królewiok;Zwyciêstwa;Rybnik;;RYBNIK;CHWA£OWICE;;458;.GRZEGORZ;26-04-2018;07:53:53;;;;;;;
282;Zwyciêstwa;R-k Chwa³owice Królewiok;;;;Tkoczów;223;1;0;;;;;;;ABus;;;18,33,47.2;50,04,04.1;Brak;50;;Ch Królewiok;Chwa³owice Królewiok;Ch Królewiok;;Chwa³owice Królewiok;Chwa³owice Królewiok;Zwyciêstwa;Rybnik;;RYBNIK;CHWA£OWICE;;459;.GRZEGORZ;26-04-2018;07:53:53;;;;;;;
283;Kupiecka;R-k Chwa³owice Kupiecka;;;;Osielde;255;0;0;;;;;;;ABus;;;18,33,01.9;50,03,59.2;Brak;50;;Ch Kupiecka;Chwa³owice Kupiecka;Ch Kupiecka;;Chwa³owice Kupiecka;Chwa³owice Kupiecka;Kupiecka;Rybnik;;RYBNIK;CHWA£OWICE;;527;.GRZEGORZ;23-04-2021;12:57:59;;;;;;;
284;Kupiecka;R-k Chwa³owice Kupiecka;;;;Kolonia;255;1;0;;;;;;;ABus;;;18,33,01.9;50,03,59.2;Brak;50;;Ch Kupiecka;Chwa³owice Kupiecka;Ch Kupiecka;;Chwa³owice Kupiecka;Chwa³owice Kupiecka;Kupiecka;Rybnik;;RYBNIK;CHWA£OWICE;;528;.GRZEGORZ;23-04-2021;12:58:12;;;;;;;
285;Okulickiego;R-k Chwa³owice Las;;;;Œl¹ska;103;0;0;;;;;;;ABus;;;18,32,14.4;50,04,09.7;Brak;50;;Ch Las;Chwa³owice Las;Ch Las;;Chwa³owice Las;Chwa³owice Las;Okulickiego;Rybnik;;RYBNIK;RADZIEJÓW;;205;.GRZEGORZ;18-08-2021;09:59:57;;;;;;;
286;Okulickiego;R-k Chwa³owice Las;;;;Œwiercze;103;1;0;;;;;;;ABus;;;18,32,14.4;50,04,09.7;Brak;50;;Ch Las;Chwa³owice Las;Ch Las;;Chwa³owice Las;Chwa³owice Las;Okulickiego;Rybnik;;RYBNIK;RADZIEJÓW;;206;.GRZEGORZ;18-08-2021;10:00:30;;;;;;;
287;Malchera;R-k Chwa³owice Malchera;;;;KoŸdoniów;225;0;0;;;;;;;ABus;;;18,33,13.0;50,03,47.9;Brak;50;;Ch Malchera;Chwa³owice Malchera;Ch Malchera;;Chwa³owice Malchera;Chwa³owice Malchera;Malchera;Rybnik;;RYBNIK;CHWA£OWICE;;462;.GRZEGORZ;22-10-2018;07:35:10;;;;;;;
288;Malchera;R-k Chwa³owice Malchera;;;;Kupiecka;225;1;0;;;;;;;ABus;;;18,33,13.0;50,03,47.9;Brak;50;;Ch Malchera;Chwa³owice Malchera;Ch Malchera;;Chwa³owice Malchera;Chwa³owice Malchera;Malchera;Rybnik;;RYBNIK;CHWA£OWICE;;463;.GRZEGORZ;23-04-2021;12:58:57;;;;;;;
289;1 Maja;R-k Chwa³owice Osiedle;;;;Kopalnia;66;1;0;;;;;;;ABus;;;18,33,06.1;50,03,47.2;Brak;50;;Ch Osiedle;Chwa³owice Osiedle;Ch Osiedle;;Chwa³owice Osiedle;Chwa³owice Osiedle;1 Maja;Rybnik;;RYBNIK;CHWA£OWICE;;124;.GRZEGORZ;26-01-2018;11:06:59;;;;;;;
290;1 Maja;R-k Chwa³owice Osiedle;;;;Jankowice;66;0;0;;;;;;;ABus;;;18,33,07.9;50,03,46.1;Brak;50;;Ch Osiedle;Chwa³owice Osiedle;Ch Osiedle;;Chwa³owice Osiedle;Chwa³owice Osiedle;1 Maja;Rybnik;;RYBNIK;CHWA£OWICE;;123;.GRZEGORZ;11-05-2017;09:03:37;;;;;;;
>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#11;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
291;1 Maja;R-k Chwa³owice Pêtla;;;;Koniec;67;0;0;;;;;;;ABus;;;18,33,18.0;50,03,36.0;Brak;50;;Ch Pêtla;Chwa³owice Pêtla;Ch Pêtla;;Chwa³owice Pêtla;Chwa³owice Pêtla;1 Maja;Rybnik;;RYBNIK;CHWA£OWICE;;125;.GRZEGORZ;23-04-2021;12:59:19;;;;;;;
292;1 Maja;R-k Chwa³owice Pêtla;;;;Osiedle;67;2;0;;;;;;;ABus;;;18,33,18.4;50,03,36.9;Brak;50;;Ch Pêtla;Chwa³owice Pêtla;Ch Pêtla;;Chwa³owice Pêtla;Chwa³owice Pêtla;1 Maja;Rybnik;;RYBNIK;CHWA£OWICE;;127;.GRZEGORZ;23-04-2021;12:59:34;;;;;;;
293;1 Maja;R-k Chwa³owice Pêtla;;;;Jankowice;67;1;0;;;;;;;ABus;;;18,33,18.4;50,03,36.0;Brak;50;;Ch Pêtla;Chwa³owice Pêtla;Ch Pêtla;;Chwa³owice Pêtla;Chwa³owice Pêtla;1 Maja;Rybnik;;RYBNIK;CHWA£OWICE;;126;.GRZEGORZ;11-05-2017;09:03:42;;;;;;;
294;Œl¹ska;R-k Chwa³owice Œl¹ska;;;;Las;417;0;0;;;;;;;ABus;;;18,32,45.4;50,04,11.0;Brak;50;;Ch. Œl¹ska;R-k Chwa³owice Œl¹ska;Ch. Œl¹ska;;Chwa³owice Œl¹ska;Chwa³owice Œl¹ska;Œl¹ska;Rybnik;;RYBNIK;CHWA£OWICE;;853;.GRZEGORZ;20-12-2018;10:22:54;;;;;;;
295;Œl¹ska;R-k Chwa³owice Œl¹ska;;;;Kopalnia;417;1;0;;;;;;;ABus;;;18,32,45.4;50,04,11.0;Brak;50;;Ch. Œl¹ska;R-k Chwa³owice Œl¹ska;Ch. Œl¹ska;;Chwa³owice Œl¹ska;Chwa³owice Œl¹ska;Œl¹ska;Rybnik;;RYBNIK;CHWA£OWICE;;854;.GRZEGORZ;20-12-2018;10:22:54;;;;;;;
296;Gliwicka;R-k Golejów Górka;;;;Skrzy¿;199;0;0;;;;;;;ABus;;;18,33,01.4;50,08,15.7;Brak;50;;Gol Górka;Golejów Górka;Gol Górka;;Golejów Górka;Golejów Górka;Gliwicka;Rybnik;;RYBNIK;GOLEJÓW;;404;.GRZEGORZ;23-04-2021;13:00:01;;;;;;;
297;Gliwicka;R-k Golejów Górka;;;;Wiadukt;199;1;0;;;;;;;ABus;;;18,33,01.1;50,08,08.5;Brak;50;;Gol Górka;Golejów Górka;Gol Górka;;Golejów Górka;Golejów Górka;Gliwicka;Rybnik;;RYBNIK;GOLEJÓW;;450;.GRZEGORZ;16-08-2017;10:31:44;;;;;;;
298;Wiosny Ludów;R-k Golejów Kaplica;;;;Rondo;241;0;0;;;;;;;ABus;;;18,32,58.9;50,08,30.1;Brak;50;;Gol Kaplica;Golejów Kaplica;Gol Kaplica;;Golejów Kaplica;Golejów Kaplica;Wiosny Ludów;Rybnik;;RYBNIK;GOLEJÓW;;496;.GRZEGORZ;23-04-2021;13:00:20;;;;;;;
