>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:46;;#1;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie27-09-2021 - 01-10-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
   Kursówka: 01   Linia:  6   Wariant: D - Plac Wolnoœci-Marcel   Kurs:  04:55;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
16 ; R-k Niewiadom KopalniaIgnacy;2 ; ; ;;2 ;
17 ; R-k Niedobczyce Ha³dy;2 ;2 ; ;;4 ;
18 ; R-k Niedobczyce Janasa;1 ;3 ; ;;4 ;
19 ; R-k Niedobczyce Stadion;5 ;2 ; ;;7 ;
20 ; R-k Niedobczyce Szko³a; ; ; ;; ;
21 ; R-k Niedobczyce Karolinka;3 ;6 ; ;;9 ;
22 ; R-k Niedobczyce Pary¿;14 ;2 ;1 ;;17 ;
23 ; R-k Zamys³ów Wodzis³awska; ; ;1 ;;1 ;
24 ; R-k Smolna Osiedle;10 ; ; ;;10 ;
25 ; R-k Smolna RondoWodzis³awskie;1 ; ; ;;1 ;
26 ; R-k Œródmieœcie DworzecKolejowy; ;1 ; ;;1 ;
27 ; R-k Œródmieœcie Chrobrego;1 ; ; ;;1 ;
28 ; R-k Œródmieœcie PlacWolnoœci 1; ; ; ;; ;
29 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
30 ; Rybnik Dworzec AutobusowyA; ; ; ;; ;
 Razem: ;;78 ;43 ;5 ;;126 ;

   Kursówka: 01   Linia:  1   Wariant: C - DA-Niewiadom   Kurs:  07:35;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Rybnik Dworzec Autobusowy2;2 ; ; ;;2 ;
2 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
3 ; R-k Œródmieœcie PlacWolnoœci 2;2 ; ; ;;2 ;
4 ; R-k Œródmieœcie S¹d;1 ; ; ;;1 ;
5 ; R-k Smolna Franciszkanie; ; ; ;; ;
6 ; R-k Smolna Osiedle;3 ;1 ; ;;4 ;
7 ; R-k Zamys³ów Plebiscytowa; ; ; ;; ;
8 ; R-k Zamys³ów Niedobczycka; ; ; ;; ;
9 ; R-k Zamys³ów Wrzosy; ; ; ;; ;
10 ; R-k NiedobczyceNiedobczycka;8 ; ; ;;8 ;
11 ; R-k Niedobczyce Szko³a; ; ; ;; ;
12 ; R-k NiedobczyceWo³odyjowskiego; ; ; ;; ;
13 ; R-k Niedobczyce Cegielnia; ; ; ;; ;
14 ; R-k Niewiadom Rac³awicka; ; ; ;; ;
15 ; R-k Niewiadom Dworzec Kol.; ; ; ;; ;
16 ; R-k Niewiadom Sportowa; ; ; ;; ;
 Razem: ;;16 ;1 ; ;;17 ;

   Kursówka: 01   Linia:  1   Wariant: D - Niewiadom-DA   Kurs:  08:07;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; R-k Niewiadom Sportowa;35 ;12 ; ;;47 ;
2 ; R-k Niewiadom Dworzec Kol.;1 ;9 ; ;;10 ;
3 ; R-k Niewiadom Rac³awicka; ; ; ;; ;
4 ; R-k Niedobczyce Cegielnia;9 ;5 ;3 ;;17 ;
5 ; R-k NiedobczyceWo³odyjowskiego;6 ;12 ; ;;18 ;
6 ; R-k Niedobczyce Szko³a;3 ;2 ; ;;5 ;
7 ; R-k NiedobczyceNiedobczycka;3 ;4 ; ;;7 ;
8 ; R-k Zamys³ów Wrzosy;17 ;13 ; ;;30 ;
9 ; R-k Zamys³ów Niedobczycka;1 ;2 ; ;;3 ;
10 ; R-k Zamys³ów Plebiscytowa;1 ;1 ; ;;2 ;
>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:46;;#3;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie27-09-2021 - 01-10-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
11 ; R-k Smolna Osiedle; ;1 ; ;;1 ;
12 ; R-k Smolna Franciszkanie; ; ; ;; ;
13 ; R-k Œródmieœcie S¹d; ;2 ; ;;2 ;
14 ; R-k Œródmieœcie DworzecKolejowy;1 ;1 ; ;;2 ;
15 ; R-k Œródmieœcie Chrobrego; ; ; ;; ;
16 ; R-k Œródmieœcie PlacWolnoœci 1; ;3 ; ;;3 ;
17 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
18 ; Rybnik Dworzec AutobusowyA; ; ; ;; ;
 Razem: ;;77 ;67 ;3 ;;147 ;

   Kursówka: 01   Linia:  3   Wariant: A - Szpital-Marcel   Kurs:  10:14;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; R-k Orzepowice Borki;4 ;1 ; ;;5 ;
2 ; R-k Orzepowice Szpital Woj;5 ;13 ;1 ;;19 ;
3 ; Rybnik Dworzec Autobusowy2;1 ;1 ;2 ;;4 ;
4 ; R-k Pó³noc Rondo Gliwickie;4 ;3 ; ;;7 ;
5 ; R-k Œródmieœcie PlacWolnoœci 2;20 ;7 ; ;;27 ;
6 ; R-k Œródmieœcie 3 Maja;3 ;1 ;1 ;;5 ;
7 ; R-k Œródmieœcie Urszulanki;7 ;2 ; ;;9 ;
8 ; R-k Œródmieœcie S¹d;7 ;5 ;2 ;;14 ;
9 ; R-k Smolna Franciszkanie;6 ;3 ;1 ;;10 ;
10 ; R-k Smolna Osiedle;1 ;5 ; ;;6 ;
11 ; R-k Zamys³ów Wodzis³awska; ; ;1 ;;1 ;
12 ; R-k Niedobczyce Pary¿;1 ;2 ; ;;3 ;
13 ; R-k Niedobczyce Karolinka; ; ; ;; ;
14 ; R-k Niedobczyce Szko³a; ; ; ;; ;
15 ; R-k Niedobczyce Stadion; ;1 ; ;;1 ;
16 ; R-k Niedobczyce Orlik;1 ;3 ;1 ;;5 ;
17 ; R-k Niedobczyce Wrêbowa;5 ;2 ; ;;7 ;
18 ; Radlin Rogozina; ; ; ;; ;
19 ; Radlin Korfantego Centrum;1 ;3 ; ;;4 ;
20 ; Radlin KorfantegoMakuszyñskiego; ; ; ;; ;
21 ; Radlin Korfantego KWKMarcel; ; ; ;; ;
22 ; Radlin Ujejskiego; ; ; ;; ;
 Razem: ;;66 ;52 ;9 ;;127 ;

   Kursówka: 01   Linia:  6   Wariant: B - Marcel-DA   Kurs:  11:24;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Radlin Ujejskiego;6 ; ; ;;6 ;
2 ; Radlin Korfantego KWKMarcel;2 ;1 ; ;;3 ;
3 ; Radlin KorfantegoMakuszyñskiego; ;2 ;1 ;;3 ;
4 ; Radlin Korfantego Centrum;10 ;10 ;1 ;;21 ;
5 ; Radlin Rogozina; ; ;1 ;;1 ;
6 ; R-k Niedobczyce Wrêbowa;7 ;3 ;1 ;;11 ;
7 ; R-k Niedobczyce Orlik;4 ;4 ;1 ;;9 ;
8 ; R-k Niedobczyce Stadion;4 ;5 ;2 ;;11 ;
9 ; R-k Niedobczyce KopalniaRymer;1 ; ;4 ;;5 ;
10 ; R-k Popielów Worcella; ; ; ;; ;
11 ; R-k Popielów Skrzy¿owanie;2 ;2 ; ;;4 ;
12 ; R-k Popielów ¯abik;2 ; ; ;;2 ;
13 ; R-k Niedobczyce Pary¿;6 ;1 ;1 ;;8 ;
14 ; R-k Zamys³ów Wodzis³awska;1 ;1 ;1 ;;3 ;
15 ; R-k Smolna Osiedle;4 ;5 ; ;;9 ;
16 ; R-k Smolna Franciszkanie;2 ;2 ;1 ;;5 ;
17 ; R-k Œródmieœcie S¹d;2 ;2 ; ;;4 ;
18 ; R-k Œródmieœcie DworzecKolejowy; ;1 ; ;;1 ;
19 ; R-k Œródmieœcie Chrobrego;1 ;1 ; ;;2 ;
