>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:36;;#1;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie13-09-2021 - 17-09-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
   Kursówka: 01   Linia:  6   Wariant: D - Plac Wolnoœci-Marcel   Kurs:  04:55;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
17 ; R-k Niedobczyce Ha³dy;4 ;2 ; ;;6 ;
18 ; R-k Niedobczyce Janasa;1 ;5 ; ;;6 ;
19 ; R-k Niedobczyce Stadion;5 ;1 ; ;;6 ;
20 ; R-k Niedobczyce Szko³a;4 ; ; ;;4 ;
21 ; R-k Niedobczyce Karolinka;2 ;7 ;6 ;;15 ;
22 ; R-k Niedobczyce Pary¿;9 ;8 ;3 ;;20 ;
23 ; R-k Zamys³ów Wodzis³awska; ; ;2 ;;2 ;
24 ; R-k Smolna Osiedle;9 ; ; ;;9 ;
25 ; R-k Smolna RondoWodzis³awskie; ; ; ;; ;
26 ; R-k Œródmieœcie DworzecKolejowy; ; ; ;; ;
27 ; R-k Œródmieœcie Chrobrego; ; ; ;; ;
28 ; R-k Œródmieœcie PlacWolnoœci 1; ; ; ;; ;
29 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
30 ; Rybnik Dworzec AutobusowyA; ; ; ;; ;
 Razem: ;;69 ;55 ;12 ;;136 ;

   Kursówka: 01   Linia:  1   Wariant: C - DA-Niewiadom   Kurs:  07:35;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Rybnik Dworzec Autobusowy2; ; ; ;; ;
2 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
3 ; R-k Œródmieœcie PlacWolnoœci 2;4 ;2 ; ;;6 ;
4 ; R-k Œródmieœcie S¹d;1 ;1 ; ;;2 ;
5 ; R-k Smolna Franciszkanie; ; ; ;; ;
6 ; R-k Smolna Osiedle;1 ;2 ; ;;3 ;
7 ; R-k Zamys³ów Plebiscytowa; ; ; ;; ;
8 ; R-k Zamys³ów Niedobczycka;6 ; ; ;;6 ;
9 ; R-k Zamys³ów Wrzosy; ; ; ;; ;
10 ; R-k NiedobczyceNiedobczycka; ; ; ;; ;
11 ; R-k Niedobczyce Szko³a;1 ; ; ;;1 ;
